# VSS collision model parameters for each species

# diameter (m)
# omega
# tref
# alpha
# Molecular Gas Dynamics and the Direct Simulation of Gas Flows

N   3.11E-10    0.65  1000   1.0   0.0 0.0 0.0 0.0 0.0
N2  3.58E-10	0.65  1000   1.0   16.5 113.5 49.5  0.0420 1.4e-20
O   2.96E-10    0.65  1000   1.0   0.0 0.0 0.0 0.0 0.0
O2  3.36E-10    0.65  1000   1.0   14.4 90.0 138.0 0.030 1.3e-20
NO  3.41E-10    0.65  1000   1.0   17.3 101.9 49.5  0.0420 1.1e-20

O+  2.96E-10    0.65  1000   1.0   0.0 0.0 0.0 0.0 0.0
O2+ 3.36E-10    0.65  1000   1.0   14.4 90 138.0 0.030 1.3e-20
NO+ 3.41E-10    0.65  1000   1.0   17.3 101.9 49.5  0.0420 1.1e-20
N+  3.11E-10    0.65  1000   1.0   0.0 0.0 0.0 0.0 0.0
N2+ 3.58E-10    0.65  1000   1.0   16.5 113.5 49.5  0.0420 1.4e-20
e   5.64E-15    0.60  1000   1.0   0.0 0.0 0.0 0.0 0.0
